taxon,description
Epilobium palustre,"

Erect variable perennial herb, forming filiform epigaeous stolons with widely spaced small leaves, often terminating in condensed dark small turions; stems 5-70 cm tall, terete, simple or well-branched in larger plants, subglabrous below except for strigillose lines decurrent from the margins of the petioles, dense strigillose above. Leaves sublinear to narrow lanceolate, 1.5-7 x 0.2-1.9 cm, subglabrous except for strigillose margins and veins, entire to obscurely denticulate, apex acute or acuminate, base cuneate, sessile. Inflorescence nodding in bud, dense strigillose, usually eglandular. Ovaries 2.1-3 cm long, densely canescent. Sepals 2.5-4.5 mm long, strigillose. Petals 3-9 mm long, white or rarely pink. Style 2-3.8 mm long. Stigma clavate to cylindrical, surrounded by anthers at anthesis. Capsules 3-9 cm long, pubescent, on pedicels 1.5-3.5 cm long. Seeds 1.4-2.2 x 0.38-0.54 mm, elliptic-attenuate or fusiform, very finely papillose, the chalazal collar 0.08-0.24 mm long, very conspicuous; comas 5-7 mm long, white, quite persistent."
Beckmannia syzigachne,"A caespitose, annual grass. Culms erect, 20–90 cm ,1.8–2.4 mm diam, 2–4-noded. Lf 7–20 cm x 4–10 mm, scabrous, ligule an eciliate membrane, 3–6 mm.
           Infl racemose (a closed panicle),   15–35 cm, of 4-15 unilateral racemes on a central axis, ascending, or erect, each  1.7–2.5 cm, simple, or branched, rhachis angular.          
           
            Spikelets solitary, crowded. Fertile spikelets pedicelled. Pedicels oblong, 0.2 mm long; of 1 fertile floret or with diminished sterile or male florets at the apex. Spikelets orbicular, laterally compressed, 3–3.5 mm long, falling entire.                    
           
            Glumes similar, 3–3.5 mm, ovate,  acute, gibbous, herbaceous;, 1-keeled, 3-veined. Fertile lemma 3–3.5 mm, lanceolate, apiculate, cartilaginous, keel 0, 5 -veined.   Palea 0.66 length of lemma, oblong, 2-veined. Apical sterile florets distinct from fertile; 0–1 in number, male, orbicular.          Anthers 3, 0.5–0.8 mm.
            
          "
Beckmannia syzigachne,"

Annual. Culms tufted, erect, soft, 15–90 cm tall, 2–4-noded. Leaf sheaths glabrous, usually longer than internodes; leaf blades 5–20 cm, 3–10 mm wide, grayish green, scabrid or abaxial surface smooth, apex acute; ligule 3–8 mm. Inflorescence 10–30 cm; racemes erect or narrowly ascending, 1–4 cm. Spikelets orbicular-cuneate in outline, flattened, 2.5–3 mm, gray-green, floret 1(–2); glumes glabrous or hispid, slightly inflated, laterally compressed, veins prominent, linked by oblique transverse veinlets; lemma scaberulous, apex cuspidate-aristate. Anthers 0.4–1 mm. Caryopsis oblong, ca. 1.5 mm, with a tuft of hairs at apex. Fl. and fr. Apr–Oct. 2n = 14."
Drosera rotundifolia,"A slender,  reddish, scapigerous perennial, 6-15 cm. Rootstock short and slender. Stem short or rarely (in floating forms) sending out slender stolons. Lvs, spreading horizontally and forming a rosette, blade orbicular, up to 1 cm diam, upper surface with long, red, viscid hairs each bearing a small gland at the top; petioles hairy, long. Scape erect, straight, simple or rarely branched above, 2-4 times as long as the lvs, appearing to arise from the centre of the rosette. Infl an unbranched circinnate cyme. Fls 5 mm, shortly pedicelled; sepals (5-)6(-8), ±          fused at the base; petals white, expanding in sunshine.  Capsule acute, equalling or exceeding the sepals; seeds reticulate, spindle shaped, winged. "
Drosera rotundifolia,"

Plants forming winter hibernaculae, rosettes (2–)4–10(–15) cm diam.; stem base not bulbous-cormose. Leaves erect to prostrate; stipules adnate to petioles their entire length, 4–6 mm, margins fimbriate along distal 1/2; petiole differentiated from blade, 1.5–5 cm, glandular-pilose; blade suborbiculate, 0.4–1 cm × 5–12 mm, <broader than long, much shorter than petiole>. Inflorescences 2–15(–25)-flowered; scapes 5–35 cm, glabrous. Flowers 4–7 mm diam.; sepals connate basally, oblong, 4–5 × 1.5–2 mm, glabrous; petals white or pink, spatulate, 5–6 × 3 mm. Capsules 5 mm. Seeds light brown, fusiform, 1–1.5 mm, finely and regularly longitudinally striate, <with metallic sheen>. 2n = 20."
Drosera rotundifolia,"

Herbs perennial, with few fibrous roots. Stem unbranched, short, sometimes to 5 cm when growing in Sphagnum moss, forming a bulb at shoot tip during winter, not forming a tuber below ground. Leaves basal, dense, long petiolate; stipule 5-7-fid, 6-8 mm, scarious, closely adnate to petiole at base; petiole flat, 1-7 cm; leaf blades yellowish green or green to red, orbicular, suborbicular, or weakly reniform, 3-10 mm × 0.5-2 cm, with red, long capitate, sticky, glandular hairs. Inflorescences erect, scapiform, slender, 8.5-30 cm, glabrous; cincinni 1 or 2, 3-30-flowered; bracts subulate to linear, small; pedicels 1-3 mm. Sepals 5, united near base, green, ovate to oblong, ca. 4 × 1.5 mm, glandular, margin serrate. Petals white or tinged with pink, spatulate, 5-6 × ca. 3 mm. Stamens 5, 4-5 mm. Ovary ellipsoid-globose, ca. 3 mm; placentas 3; styles 3 or 4, deeply parted to base or entire, clavate; stigma simple. Capsule 3- or 4-valved. Seeds ellipsoid-globose; testa pouch-shaped, extended at each end. 2n = 20."
Eriocaulon cinereum,"

Herbs, annual or short-lived perennial, 15--30 cm. Leaves linear-attenuate, to 10 cm, apex subulate-filiform. Inflorescences: scape sheaths shorter than principal leaves, loose; scapes filiform, 0.5 mm wide, 6--8-ribbed; mature head silvery-gray, ovoid to nearly globose, 4--5 mm wide, soft; receptacle sparsely pilose, hairs translucent; involucral bracts spreading-ascending, not obscured by bracteoles and flowers of mature heads, pale, ovate to oblong, oblanceolate or broadly obovate, grading narrower inward, 2 mm, margins often lacerate or erose, apex acute, glabrous; receptacular bracts pale except for gray midzone, linear-oblong, 2 mm, margins erose or entire, apex acute, glabrous. Staminate flowers: sepals 3, dark, either deeply and narrowly lobed or broadly spatulate, 3-dentate, 1.5 mm, distally with scattered white, linear, short hairs; androphore flaring; petals 3, oblong, apex with white, tapering hairs; stamens 6; anthers yellow. Pistillate flowers: sepals 3, 2 linear-elliptic, 1 broadly elliptic-oblanceolate, concave, 1.5 mm, apex acute, sometimes with few translucent hairs; gynophore 1 mm with 3 spreading, peglike, minute appendages; pistil 3-carpellate. Seeds pale brown, ovoid or broadly ellipsoid, 4.5 mm, finely reticulate, alveolae horizontally rectangular."
Eriocaulon cinereum,"

Leaves narrowly linear, 2--5(--8) cm, 0.8--1(--1.7) mm wide at middle, glabrous, veins 3(--5). Scapes 6--30, 6--9(--19) cm, 4--6-ribbed; sheath 1.5--2(--3.5) cm; receptacle villous, occasionally glabrous; heads light yellow to dark green, subglobose to broadly ovoid, ca. 4 × 3--3.5 mm; involucral bracts pale green-yellow to blackish, obovate to elliptic, 0.9--1.9 × 1--1.4 mm, membranous, glabrous; floral bracts oblong to oblanceolate, glabrous or occasionally abaxially villous. Male flowers: sepals spathelike, 1.3--1.9 mm, glabrous or abaxially hairy toward 3-cleft apex; petals 3, ovate to oblong, anterior one slightly larger than others, shortly hairy at apex, gland black or brown; anthers white to dusky. Female flowers: sepals 2 or 3, blackish, free, linear, sparsely villous abaxially and at margin, posterior one absent or to 1 mm, lateral ones 1--1.7 mm; petals absent; ovary 3-loculed; style 3-cleft. Seeds ovoid, 0.4--0.5 mm; testa hexagonally reticulate, prickles absent. Fl. and fr. Jun--Oct."
Plantago major,"A stout glabrous or pubescent, scapigerous perennial. Rootstock short and thick. Lvs spirally arranged in a radical rosette, 10-15 (-30) cm, ovate or elliptic, entire or irregularly toothed, abruptly narrowed to petiole, petiole about as long as blade. Infl a racemose spike (1-)10-15(-50) cm; scape scarcely exceeding lvs, not furrowed. Bracts acute, brownish with a green keel. Fls c 3 mm, ± 4-merous. Corolla gamopetalous, yellowish white, lobes triangular. Stamens inserted on corolla tube. Anthers at first lilac, later dirty yellow.  Fr c 5 mm, 2-celled, 8-16 seeded.   sp major: leaves mostly with 5-9 veins, usually obtuse at apex, subcordate to rounded at base, subentire, capsules with 4-15 seeds; seeds (1-)1.2-1.8(-2.1) mm. sp intermedia (Gilib.) Lange: Plant usually with much shorter spikes; leaves mostly with 3-5 veins, usually subacute at apex, broadly cuneate, ± indulate toothed near base; capsules mostly with (9-)14-25(-36) seeds; seeds (0.6-)0.8-1.2(-1.5). "
Plantago major,"

Herbs, perennial. Roots numerous, fibrous. Leaves basal, pubescent to subglabrous; petiole 1-10(-26) cm; leaf blade broadly ovate to broadly elliptic, 3-18(-30) × 2-11(-21) cm, herbaceous to papery, veins (3 or)5 or 7, base cuneate, subrounded, or cordate, ± decurrent onto petiole, margin remotely dentate to subentire, apex acute to obtuse. Spikes narrowly cylindric to cylindric, 1-20(-40) cm, usually interrupted basally; peduncle 2-18(-45) cm, pubescent; bracts broadly ovate-triangular, 1.2-2 mm, glabrous or pubescent at apex, keel broad and thick. Flowers sessile. Sepals 1.5-2.5 mm, glabrous or ciliolate, keel not extending to apex, apex rounded; lower sepals elliptic to broadly elliptic; upper sepals broader. Corolla white, glabrous; lobes narrowly ovate, 1-1.5 mm, patent to reflexed. Stamens adnate only to near base of corolla tube, exserted; anthers purplish or white, ellipsoid, 1-1.2 mm. Pyxis subglobose, ovoid, or broadly ellipsoid, 2-3 mm, circumscissile at or just below middle, with (8-)12-24(-34) seeds. Seeds yellowish brown, ovoid, ellipsoid, or rhomboid, 0.8-1.2 mm, angled, ventral face prominent to slightly flat; cotyledons parallel to ventral side. Fl. Jun-Aug, fr. Jul-Sep. 2n = 12, 18, 24."
Plantago major,"Perennial acaulescent herbs, variable with short stout, erect, truncate, rootstocks and numerous adventitious roots. Leaves in rosettes, spirally arranged, petiolate, sometimes not clearly distinguished into petiole and lamina; lamina ovate elliptic or rarely rotundate (1-) 10-20 (-30) cm long, (1-) 4-9 (-17) cm broad, rounded at apex, entire, subentire or sinuately dentate, 3-9 nerved, nerves divergent at the base, bases tapering and decurrent into long sheathing petioles usually equalling the lamina. Scapes many, 13-15 (-70) cm long, arched, erect, glabrous to slightly pilose. Spikes dense or lax, slender, narrow-cylindric, 5-15 cm long. Bracts equalling or shorter than the calyx, ovate-oblong, ± acute, brownish with a brown keel, margins scarious. Calyx 3 mm long, glabrous; sepals broadly elliptic, oblong to rounded obtuse or subacute, obtusely keeled, margins broadly scarious. Corolla greenish or yellowish white, 2-4 mm long, glabrous, lobes elliptic- ovate to narrowly triangular, 1-1.15 mm long, obtuse or acute, reflexed. Anthers at first lilac, later whitish or yellowish. Capsule 2-3 mm long, globose or subconic, glabrous. Seeds minute, 6-10 (-34), angulate, dull black, rugulose, 1-1.7 mm long, 0.8 mm broad."
Cyperus haspan,"

Herbs, perennial, cespitose, shortly rhizomatous.  Culms trigonous, (2–)25–60(–100) cm × 1–4 mm, soft (flattened in drying), glabrous.  Leaves usually reduced to sheaths, occasionally with blades, flat to V-shaped, (3–)10–30 cm × (1–)2.5–5 mm.  Inflorescences: heads loosely digitate; rays (5–)10–12(–15), 1–15(–20) cm; 2d order rays usually present, (1–)6–12(–25) mm; 3d order rays sometimes present, 1–6 mm; bracts 2(–3), horizontal to ascending at 30–60°, longer (3–)6–18 cm × 2–4 mm, shorter (0.5–)2.5–6.5 cm × 1–2(–3) mm.  Spikelets 1–15, linear-lanceoloid, ± compressed-quadrangular, 3–18 × 1–1.6 mm; floral scales 10–20(–40), laterally reddish to greenish brown, dull, often clear-edged, medially greenish, laterally 1-ribbed, medially 1-ribbed, oblong to obovate, 1–1.5(–1.9) × 0.8–1 mm, apex mucronate, glabrous except for cluster of crystalline prickles at apex.  Flowers: stamens 3; anthers 0.3–0.5 mm; styles 0.4–0.9 mm; stigmas 0.5–0.8(–1.3) mm.  Achenes white or reddish brown, stipitate, globose to obovoid or ellipsoid, 0.5–0.6(–0.7) × 0.3–0.4(–0.5) mm, base nearly cuneate, stipe 0.1 × 0.1–0.2 mm, apex obtuse to acute, apiculate or entire, surfaces granular to papillose."
Cyperus haspan,"

Perennials or annuals. Roots fibrous when annual. Rhizomes short to slightly long. Culms tufted or scattered, 10-60 cm tall, slender, compressed triquetrous, smooth. Leaves shorter than culm, sometimes sheathed only and bladeless; sheath pale green, base purplish brown to reddish purple, 2-10 cm; leaf blade 2-3 mm wide. Involucral bracts usually 2, leaflike, shorter to rarely longer than inflorescence. Inflorescence a simple, compound, or decompound anthela; rays 8-12, mostly 17-30 cm, unequal in length, each with several raylets; raylets less than 2 cm, usually with 1-6(-14) spikelets at apex. Spikelets digitately arranged or sometimes solitary, linear to narrowly linear-ovoid, 5-12 × 1-1.5 mm, 6-28-flowered; rachilla wingless. Glumes purplish brown, pale brown, or straw-colored but middle pale brownish to pale green, densely imbricate, oblong-ovate to subelliptic, ca. 1.5 mm, membranous, 3-veined, abaxially keeled, apex rounded to subtruncate and mucronate. Stamens 1-3; anthers narrowly oblong, apex white setose. Style of medium length; stigmas 3. Nutlet yellowish, whitish, or reddish brown, broadly obovoid, 0.5-0.6(-0.7) mm, ca. 1/3 as long as subtending glume, 3-sided, tuberculate. Fl. and fr. over a long period, different in each region. 2n = 26."
Cyperus haspan,"

Annual or perennial, 15-40 cm. Roots fibrous, reddish. Rhizome short, horizontal or ascending, with short internodes. Stem 1-2 mm diam., sharply trigonous, sides concave, smooth. Leaves c. half of stem length; sheaths up to 10 cm, usually distinctly reddish, soft, mouth oblique or, in leaves with blades, nearly straight; ligule 0; blades few, up to c. 15 cm, 2-3 mm wide, flat or channelled, margins and keel smooth, apex acute, slightly scabrous. Inflorescence a compound anthelodium, up to 90 mm; 1-2 bracts foliose, up to 70 mm, shorter than inflorescence; primary branches 7-12, up to 70 mm; secondary anthelodia 5-20 mm long, bracts glume-like; cluster of spikes 5-10 mm, formed by (1-)3-8 sessile spikes; spikes 3-12 x c. 1 mm, with 8-35 glumes; glume-like bract c. 1 mm, glume-like prophyll clasping, rounded, bi-nerved, sterile, c. 0.8; rachis c. 0.5 mm wide, tetrangular, reddish brown, internodes c. 1 mm, not clearly winged; glumes 1.3-1.6 mm, cymbiform, acute, slightly keeled near slightly recurved and barbed apex, sides brown or reddish-brown, obscurely bi-nerved, glossy, margins narrowly scarious. Stamens 3. Nut 1-1.4 x 0.8-1 mm, obovoid or ellipsoid, trigonous, white-reticulate or white-papillose."
